epoch,step,test_loss,train_loss,val_loss
0,49,,0.0029807433020323515,
0,99,,0.008350051008164883,
0,149,,0.0072926864959299564,
0,199,,0.0018125600181519985,
0,249,,0.002101767808198929,
0,299,,0.004544180352240801,
0,349,,0.002060782629996538,
0,399,,0.004556785803288221,
0,449,,0.0019929565023630857,
0,499,,0.001947328681126237,
0,549,,0.030953526496887207,
0,599,,0.030809275805950165,
0,649,,0.001833067275583744,
0,699,,0.0025998111814260483,
0,749,,0.0019553389865905046,
0,799,,0.008451385423541069,
0,849,,0.0018837909447029233,
0,899,,0.004368696827441454,
0,949,,0.0019981656223535538,
0,999,,0.0029601561836898327,
0,1049,,0.0020769238471984863,
0,1099,,0.004514982923865318,
0,1149,,0.0019479203037917614,
0,1199,,0.0019843601621687412,
0,1249,,0.0019087628461420536,
0,1299,,0.030189989134669304,
0,1349,,0.0027812111657112837,
0,1399,,0.009311060421168804,
0,1449,,0.002621389925479889,
0,1499,,0.030282247811555862,
0,1549,,0.0022525833919644356,
0,1599,,0.0025791192892938852,
0,1649,,0.0030929911881685257,
0,1699,,0.0018465251196175814,
0,1749,,0.004439407028257847,
0,1799,,0.0032897023484110832,
0,1849,,0.002018965547904372,
0,1899,,0.030187973752617836,
0,1949,,0.0027927658520638943,
0,1999,,0.008363250643014908,
0,2049,,0.005003395024687052,
0,2099,,0.0024479965213686228,
0,2149,,0.0021096195559948683,
0,2199,,0.0019898703321814537,
0,2249,,0.030793718993663788,
0,2299,,0.0018689903663471341,
0,2349,,0.002013594377785921,
0,2399,,0.008879742585122585,
0,2449,,0.003247210755944252,
0,2499,,0.0019368785433471203,
0,2499,,,0.00762745039537549
1,2549,,0.030234938487410545,
1,2599,,0.0018521143356338143,
1,2649,,0.03669087216258049,
1,2699,,0.0034611807204782963,
1,2749,,0.009034719318151474,
1,2799,,0.03098706156015396,
1,2849,,0.004493404645472765,
1,2899,,0.005675934720784426,
1,2949,,0.001852873945608735,
1,2999,,0.0018382853595539927,
1,3049,,0.00432257354259491,
1,3099,,0.030257320031523705,
1,3149,,0.0018303404795005918,
1,3199,,0.059005431830883026,
1,3249,,0.0019385137129575014,
1,3299,,0.002641896018758416,
1,3349,,0.0020019200164824724,
1,3399,,0.002049098489806056,
1,3449,,0.0021977422293275595,
1,3499,,0.008259600028395653,
1,3549,,0.005697023123502731,
1,3599,,0.030262989923357964,
1,3649,,0.0020357451867312193,
1,3699,,0.002530118450522423,
1,3749,,0.004497391637414694,
1,3799,,0.008318818174302578,
1,3849,,0.004196468740701675,
1,3899,,0.00199178047478199,
1,3949,,0.002028932562097907,
1,3999,,0.0031986073590815067,
1,4049,,0.03026999719440937,
1,4099,,0.0019982117228209972,
1,4149,,0.0018959849840030074,
1,4199,,0.0301706250756979,
1,4249,,0.008224250748753548,
1,4299,,0.003198218299075961,
1,4349,,0.0019646305590867996,
1,4399,,0.03689459711313248,
1,4449,,0.03280079737305641,
1,4499,,0.058461129665374756,
1,4549,,0.002925853943452239,
1,4599,,0.0019565524999052286,
1,4649,,0.0020634280517697334,
1,4699,,0.03090909868478775,
1,4749,,0.008394661359488964,
1,4799,,0.002086985856294632,
1,4849,,0.001889213570393622,
1,4899,,0.0020667624194175005,
1,4949,,0.0019039869075641036,
1,4999,,0.001989564159885049,
1,4999,,,0.00762745039537549
2,5049,,0.02996313013136387,
2,5099,,0.031399890780448914,
2,5149,,0.002116790972650051,
2,5199,,0.008454286493360996,
2,5249,,0.0021532399114221334,
2,5294,0.008713125251233578,,
