epoch,step,test_loss,train_loss,val_loss
0,49,,0.030460352078080177,
0,99,,0.0018884671153500676,
0,149,,0.0033916370011866093,
0,199,,0.004242044873535633,
0,249,,0.001872252905741334,
0,299,,0.03720032796263695,
0,349,,0.004551080986857414,
0,399,,0.002207723679021001,
0,449,,0.0031543949153274298,
0,499,,0.0026548579335212708,
0,549,,0.0019251425983384252,
0,599,,0.001946596777997911,
0,649,,0.0018863565055653453,
0,699,,0.002411236520856619,
0,749,,0.00168179115280509,
0,799,,0.0030229638796299696,
0,849,,0.0034082659985870123,
0,899,,0.0018769066082313657,
0,949,,0.0020304794888943434,
0,999,,0.0107315294444561,
0,1049,,0.008920283988118172,
0,1099,,0.008205047808587551,
0,1149,,0.0021429788321256638,
0,1199,,0.002017444930970669,
0,1249,,0.030002331361174583,
0,1299,,0.002378947101533413,
0,1349,,0.0018484621541574597,
0,1399,,0.0018609403632581234,
0,1449,,0.008321202360093594,
0,1499,,0.031292375177145004,
0,1549,,0.002058899262920022,
0,1599,,0.0038648738991469145,
0,1649,,0.0020546114537864923,
0,1699,,0.00199015811085701,
0,1749,,0.002018481260165572,
0,1799,,0.05844050645828247,
0,1849,,0.0018872919026762247,
0,1899,,0.030330918729305267,
0,1949,,0.008857938461005688,
0,1999,,0.0020403845701366663,
0,2049,,0.0018625976517796516,
0,2099,,0.030274227261543274,
0,2149,,0.0019334661774337292,
0,2199,,0.010411255992949009,
0,2249,,0.030920885503292084,
0,2299,,0.010781142860651016,
0,2349,,0.0018999084131792188,
0,2399,,0.0019439402967691422,
0,2449,,0.002453629858791828,
0,2499,,0.001991336466744542,
0,2499,,,0.00762745039537549
1,2549,,0.03141644969582558,
1,2599,,0.0022108827251940966,
1,2649,,0.0019748557824641466,
1,2699,,0.001997860847041011,
1,2727,0.008713125251233578,,
